model,n,MAE,RMSE,R2,Bias,target,model_family
AQI:GRU,457,18.959338542226945,34.945940509298445,0.8754106117462552,-1.5246057180574124,aqi,GRU
AQI:PIIANN,457,20.228285306366168,36.24101917955882,0.866005062044526,-0.4208767392096335,aqi,PIIANN
pm25:PIIANN,680,22.012476111992317,38.57477095206657,0.694498201373196,-0.66317772799555,pm25,PIIANN
co:PIIANN,889,0.259450080431618,0.583437058939999,0.7201074746130609,0.006914878797340728,co,PIIANN
o3:PIIANN,674,5.147095199829128,8.135484714264443,0.7771460479191477,-0.012279048550995592,o3,PIIANN
