model,n,MAE,RMSE,R2,Bias,target,model_family
AQI:GRU,764,10.02581056251496,14.882743274714684,0.8613681551902668,1.3083188566157578,aqi,GRU
AQI:PIIANN,764,11.14417739416614,16.426247223804236,0.831121745409088,0.16663452666912995,aqi,PIIANN
pm25:PIIANN,926,12.128466253309686,26.12933612497891,0.49067544377396777,-0.32515174340150976,pm25,PIIANN
pm10:PIIANN,897,17.71473453402386,32.64991928298856,0.5564638643769477,0.04485358728081353,pm10,PIIANN
no2:PIIANN,910,3.0179548120402453,5.405955907141841,0.6874844957192005,0.36545060559145204,no2,PIIANN
so2:PIIANN,943,1.5008780964347015,2.809490866350753,0.7335517547011206,0.19284559034348356,so2,PIIANN
co:PIIANN,932,0.11355221403981607,0.21261588225910177,0.7174644064038658,-0.0008749484783731231,co,PIIANN
o3:PIIANN,954,9.447516781728972,13.436226471675726,0.7489389406710223,0.5489907199731663,o3,PIIANN
