model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1524,7.607893755913637,24.272540774482277,0.9536999182849184,-0.12189307622029888,aqi,RandomForest,43.75437952499942
AQI:GradientBoosting,1524,11.119224920735968,24.548548573113518,0.9526409569635077,0.03384146178912985,aqi,GradientBoosting,32.81198887299979
AQI:LinearRegression,1524,8.81641621375034,25.612368485788537,0.948447377643857,0.19297439925104873,aqi,LinearRegression,0.14086502700047276
AQI:Persistence,1524,6.541666666666667,26.085448498340604,0.9465253568437125,-0.6118766404199475,aqi,Persistence,0.0
AQI:GRU,1543,9.542233673450191,20.53241093067415,0.966969305285558,0.12487453217530334,aqi,GRU,
AQI:PINN,1543,9.916250356090464,19.95841042213596,0.9687902915778749,1.2673265088698416,aqi,PINN,
AQI:PIIANN,1543,9.455284224679826,19.48214374442407,0.9702620313226871,0.6326175703206541,aqi,PIIANN,
pm25:PIIANN,1659,38.824727165655894,61.7097971714366,0.6431817158362246,-1.1056981988884442,pm25,PIIANN,
pm10:PIIANN,1664,64.882662073924,92.20094601083379,0.6071180192207202,2.1834169236513286,pm10,PIIANN,
no2:PIIANN,1669,13.009715837604489,18.09623589987385,0.2586139753292799,0.22480487560997328,no2,PIIANN,
so2:PIIANN,1670,6.485695228069842,9.973167645209955,0.13953046960265447,-0.4019396266180598,so2,PIIANN,
co:PIIANN,1670,0.586360516264472,0.8923934157903488,0.2908707115302359,0.021296940979548443,co,PIIANN,
o3:PIIANN,1645,18.93796804618419,30.505990897718632,0.12978022995624772,-1.6029072721633142,o3,PIIANN,
