model,n,MAE,RMSE,R2,Bias,target,model_family
AQI:GRU,383,40.53314437611318,52.40577687297613,0.0555177469227196,0.16100252018411265,aqi,GRU
AQI:PIIANN,383,42.429449407521,53.95183175097113,-0.001031775867506246,-2.7595050253866784,aqi,PIIANN
pm25:PIIANN,427,25.336086241366992,34.55521768229856,0.0011139819734232725,-0.5461934517362358,pm25,PIIANN
pm10:PIIANN,425,45.443656160691205,59.21375225388083,-0.016830596130809505,-7.910058043984806,pm10,PIIANN
no2:PIIANN,665,10.168083796106783,25.64301572056272,-0.0005663581578640997,1.0148534875167043,no2,PIIANN
co:PIIANN,679,0.1880272855417123,0.28154132866046555,0.0027226485014244517,0.0006952078903302878,co,PIIANN
o3:PIIANN,633,14.141553130383363,18.623619661603485,-0.01760340439822916,-1.096429572851172,o3,PIIANN
