model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1514,7.903830392314383,25.463281973272647,0.9415166664884836,-0.23641727718011832,aqi,RandomForest,41.87836465500004
AQI:GradientBoosting,1514,11.279809616836868,26.28859209101616,0.9376641313274131,-0.07758324980313878,aqi,GradientBoosting,32.657158585000616
AQI:LinearRegression,1514,9.60558570457501,27.075491481843144,0.9338764657658508,-0.23189594783923095,aqi,LinearRegression,0.136270439999862
AQI:Persistence,1514,7.302840158520476,27.72384875807055,0.9306717237117939,-0.6311096433289299,aqi,Persistence,0.0
AQI:GRU,1491,11.059933815987474,25.851692610390913,0.9418991029832813,0.9358730033797877,aqi,GRU,
AQI:PINN,1491,11.140681308090004,24.995108185171,0.9456856092284764,1.9574549691326382,aqi,PINN,
AQI:PIIANN,1491,10.477074811687588,24.425936302445034,0.9481310673407853,0.15135735899672487,aqi,PIIANN,
pm25:PIIANN,1644,49.65420072407908,72.49765067211638,0.439248809575463,0.7252552523085091,pm25,PIIANN,
pm10:PIIANN,1632,75.19092947682914,102.70585168659817,0.5084749957722113,3.63092415794438,pm10,PIIANN,
no2:PIIANN,1647,15.599908964908622,20.34266052935789,0.14187892216039488,2.0931669449310415,no2,PIIANN,
so2:PIIANN,1640,5.66888714725288,7.8979574577247735,0.044869410672797816,0.6114706942402734,so2,PIIANN,
co:PIIANN,1634,0.6381848369788391,0.9525696574987411,0.13428290079259353,-0.034923947432368325,co,PIIANN,
o3:PIIANN,1642,25.115887177529565,33.16845640140486,0.13724128204101405,0.03199286841482251,o3,PIIANN,
