model,n,MAE,RMSE,R2,Bias,target,model_family
AQI:GRU,816,9.712080334297097,13.862448402759073,0.830199877858429,0.5742016791852208,aqi,GRU
AQI:PIIANN,816,10.329879903527013,14.535750580621979,0.8133048493042281,0.7573835026538965,aqi,PIIANN
pm25:PIIANN,916,10.185638475561246,15.257781552805808,0.6794422295818296,-0.1156344013573301,pm25,PIIANN
pm10:PIIANN,901,25.24154861547574,32.68630910942505,0.610576762911833,-0.06900163919362058,pm10,PIIANN
no2:PIIANN,939,4.122906744041747,5.884257578488052,0.8605570906361468,0.22700804947449948,no2,PIIANN
so2:PIIANN,913,3.628096705421944,6.661592448617919,0.6429693479509186,-0.40638313278951654,so2,PIIANN
co:PIIANN,941,0.13756431170567093,0.2016033382863335,0.7760621473438883,-0.0010054028334384225,co,PIIANN
o3:PIIANN,949,3.3197464609118246,5.9219645699019,0.7158049100587514,-0.3181165320488641,o3,PIIANN
