model,n,MAE,RMSE,R2,Bias,target,model_family
AQI:GRU,791,3.7709710424104874,5.785835736401908,0.9103756164541636,-0.880304521133299,aqi,GRU
AQI:PIIANN,791,3.7710563543641085,5.785108107493103,0.9103981574300049,0.48639461563205677,aqi,PIIANN
pm25:PIIANN,980,4.625730025524995,6.854887416808236,0.6897744306010931,-0.2382699153861221,pm25,PIIANN
pm10:PIIANN,983,9.028214300394302,17.091840647144334,0.4834848734127397,0.5739607786719942,pm10,PIIANN
no2:PIIANN,1019,0.6808644031285069,0.9540664256044596,0.8944605409865843,0.047302913618976865,no2,PIIANN
so2:PIIANN,1011,0.7561433485070747,1.120132085820294,0.8214619418566179,0.03307848019132982,so2,PIIANN
co:PIIANN,983,0.06996275067314248,0.10309377253176194,0.7542717992589597,0.00553503125860514,co,PIIANN
o3:PIIANN,1019,3.308656032232822,4.619074496832982,0.8146286872677561,0.005486121940425614,o3,PIIANN
