,Adarsh Nagar,Mansarovar Sector-12,Police Commissionerate,RIICO Sitapura,Sector-2 Murlipura,Shastri Nagar
Adarsh Nagar,1.0,0.8220054185588401,0.722436082260767,0.7670821428270536,0.8152428478970816,0.8897713105930058
Mansarovar Sector-12,0.8220054185588401,1.0,0.6415172141913218,0.7899401304094869,0.734177368550108,0.8528501644524829
Police Commissionerate,0.722436082260767,0.6415172141913218,1.0,0.5874283315161101,0.5765420857906673,0.6956105821869419
RIICO Sitapura,0.7670821428270536,0.7899401304094869,0.5874283315161101,1.0,0.7717886698095914,0.7543126340105423
Sector-2 Murlipura,0.8152428478970816,0.734177368550108,0.5765420857906673,0.7717886698095914,1.0,0.8024566708329327
Shastri Nagar,0.8897713105930058,0.8528501644524829,0.6956105821869419,0.7543126340105423,0.8024566708329327,1.0
