model_family,mean_RMSE,sd_RMSE,mean_MAE,mean_R2,stations
PIIANN,14.986720635095528,3.753268533616496,6.746655111958788,0.9412385566988521,6
PINN,15.475036736495767,3.3008047050112133,6.985670397706191,0.9371655436126819,6
RandomForest,15.5249328081742,3.2132721644250437,5.7042090397224605,0.9361972086821345,6
GRU,15.747341064378071,3.2972376907232337,7.226777740537613,0.9349042336002928,6
GradientBoosting,16.40123032988392,2.579919746868931,7.437276373474014,0.9299662096918232,6
LinearRegression,16.840787316334968,2.6828064605997635,6.476265315325175,0.9256301386652502,6
Persistence,17.236708527314857,2.7532679497099135,5.1865389041398595,0.9219948407224923,6
