model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1545,4.587723775734767,14.335641379758515,0.9669876165878949,-0.316782036910398,aqi,RandomForest,55.82509964200017
AQI:GradientBoosting,1545,7.217466148592956,15.666308613642423,0.9605746117134739,-0.25324385505165187,aqi,GradientBoosting,47.05590212599964
AQI:LinearRegression,1545,6.054999528411408,17.205067441079517,0.9524494677188187,-0.20162005589173995,aqi,LinearRegression,0.1852465309998479
AQI:Persistence,1545,4.533333333333333,17.687625718560152,0.9497447192405898,-0.4601941747572815,aqi,Persistence,0.0
AQI:GRU,1488,6.5733620288741,14.259464013252218,0.9643930495834704,-1.1299201096054567,aqi,GRU,
AQI:PINN,1488,6.4041775759877675,13.678395115447909,0.9672358680641696,-0.6147959674355045,aqi,PINN,
AQI:PIIANN,1488,6.2533254084398315,13.622700212100098,0.967502139084713,-0.9581047815457989,aqi,PIIANN,
pm25:PIIANN,1644,11.300825747260212,17.357964059928918,0.8205791864249091,-0.23073001673621854,pm25,PIIANN,
pm10:PIIANN,1647,21.28708342269615,35.16733436667254,0.7378481835930487,-0.16771260405136879,pm10,PIIANN,
no2:PIIANN,1624,7.193640327328826,14.965546475686322,0.630852644551269,-0.22901643479582418,no2,PIIANN,
so2:PIIANN,1658,2.345068180455014,3.873927182308134,0.41903955236619184,0.15030189051738838,so2,PIIANN,
co:PIIANN,1650,0.2846974791188403,0.4280453237076996,0.604289869495565,0.0039956553960433785,co,PIIANN,
o3:PIIANN,1639,11.438857275638059,15.098658551478362,0.7603208152355898,0.6128566763531406,o3,PIIANN,
