model,n,MAE,RMSE,R2,Bias,target,model_family
AQI:GRU,797,6.963210410903194,9.793867226289189,0.9051818841165715,0.21942871855875648,aqi,GRU
AQI:PIIANN,797,7.0717396989540084,10.226513548495173,0.8966196273654317,0.1965741780102764,aqi,PIIANN
pm25:PIIANN,892,7.035609966770416,11.53309992942503,0.6918195496016827,-0.49423807251346485,pm25,PIIANN
pm10:PIIANN,900,13.891910297605726,20.580363034557692,0.7676655370483665,-0.317490570280287,pm10,PIIANN
no2:PIIANN,902,7.6375717444060385,10.632729579851055,0.8700521285657755,0.43919475393126123,no2,PIIANN
so2:PIIANN,928,1.3726948000533818,3.7577439808446047,0.5282479136500029,-0.15754332971821364,so2,PIIANN
co:PIIANN,919,0.17888509409179884,0.271719137034638,0.7731615102365441,0.0022609797716789328,co,PIIANN
o3:PIIANN,925,2.3741930568298777,4.775600550819976,0.5478422599060675,0.06243715581056234,o3,PIIANN
